date,store_id,sku_id,daily_quantity,daily_net_revenue,daily_gross_revenue,transaction_count,is_promoted,max_discount_pct,channel_instore_txns,channel_online_txns,channel_mobile_txns,year,month,day,day_of_week,day_of_year,quarter,is_weekend,is_month_start,is_month_end,is_q4_holiday_season,is_feb_trough,sin_dow,cos_dow,sin_month,cos_month,sin_doy,cos_doy,city,store_type,store_age_years,category,subcategory,brand,unit_price,cost_price,gross_margin_amount,gross_margin_rate,promo_type,target_type,stock_on_hand,reorder_point,safety_stock,stock_to_reorder_ratio,is_initial_below_safety,is_initial_out_of_stock,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_mean_28,rolling_mean_90,demand_velocity_7_28
2022-01-15,ST01,SKU00001,3,2440.23,2440.23,1,0,0.0,1,0,0,2022,1,15,6,15,1,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.25518241312337275,0.9668929289391521,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,,,,,,,,,,
2022-02-09,ST01,SKU00001,4,3253.64,3253.64,1,0,0.0,1,0,0,2022,2,9,3,40,1,0,0,0,0,1,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.6350683134867438,0.7724559775191742,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,3,,,,,,,,,
2022-03-30,ST01,SKU00001,1,813.41,813.41,1,0,0.0,1,0,0,2022,3,30,3,89,1,0,0,1,0,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.9992088560679753,0.03977011384605594,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,4,,,,,,,,,
2022-04-05,ST01,SKU00001,2,1626.82,1626.82,1,0,0.0,1,0,0,2022,4,5,2,95,2,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.9979887423155984,-0.06339140486951038,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,1,,,,,,,,,
2022-05-09,ST01,SKU00001,3,2440.23,2440.23,1,0,0.0,0,1,0,2022,5,9,1,129,2,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.5000000000000003,-0.8660254037844385,0.7971015927871943,-0.6038452208771035,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,2,,,,,,,,,
2022-05-12,ST01,SKU00001,1,813.41,813.41,1,0,0.0,1,0,0,2022,5,12,4,132,2,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,0.7648913904341225,-0.6441592666722685,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,3,,,,,,,,,
2022-09-15,ST01,SKU00001,3,2440.23,2440.23,1,0,0.0,1,0,0,2022,9,15,4,258,3,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,-0.9626519747161487,-0.2707418984477642,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,1,,,,,,,,,
2022-10-04,ST01,SKU00001,1,813.41,813.41,1,0,0.0,1,0,0,2022,10,4,2,277,4,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,-0.866025403784439,0.49999999999999933,-0.9986126020839734,0.05265805692461312,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,3,3,,,2.4285714285714284,1.1338934190276817,,,,
2022-11-17,ST01,SKU00001,2,1626.82,1626.82,1,0,0.0,1,0,0,2022,11,17,4,321,4,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000012,0.8660254037844379,-0.6897960046655887,0.7240037789593305,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,1,4,,,2.142857142857143,1.2149857925879117,,,,
2022-12-08,ST01,SKU00001,1,813.41,813.41,1,0,0.0,1,0,0,2022,12,8,4,342,4,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.3893781415452015,0.9210779895789526,Quetta,Convenience Store,8.48186173853525,Home & Kitchen,Cookware,NutriPlus,813.41,619.77,193.64,0.23805952717571705,No_Promotion,None,,,,,,,2,1,,,1.8571428571428572,0.8997354108424372,,,,
