Feature,Importance
sku_id,2321
channel_instore_txns,517
channel_mobile_txns,396
channel_online_txns,390
rolling_mean_28,202
store_id,112
brand,109
subcategory,97
rolling_mean_90,86
lag_28,47
rolling_mean_14,36
unit_price,33
demand_velocity_7_28,30
cost_price,22
gross_margin_rate,22
category,18
gross_margin_amount,17
rolling_mean_7,11
year,9
city,9
stock_to_reorder_ratio,8
store_age_years,7
stock_on_hand,6
cos_doy,4
day_of_year,3
rolling_std_7,3
lag_7,3
lag_14,2
safety_stock,1
is_weekend,1
promo_type,1
store_type,1
sin_doy,1
reorder_point,1
target_type,0
day,0
is_feb_trough,0
is_q4_holiday_season,0
is_month_end,0
is_month_start,0
quarter,0
day_of_week,0
month,0
sin_month,0
max_discount_pct,0
is_promoted,0
cos_dow,0
sin_dow,0
cos_month,0
lag_1,0
is_initial_below_safety,0
is_initial_out_of_stock,0
