store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date,forecasted_daily_demand,sku_name,category,subcategory,brand,unit_price,cost_price,store_name,city,store_type,forecast_7d_demand,forecast_14d_demand,forecast_30d_demand,days_of_supply,days_since_last_restock,inventory_value_cost,inventory_value_retail,risk_status,risk_priority,risk_reason,recommended_action,is_gt_stockout,is_gt_slowmover
ST11,SKU02558,333,72,22,2025-06-23T00:00:00.000,1.8811942447156045,PrimeCare Butter & Ghee 2L,Dairy & Bakery,Butter & Ghee,PrimeCare,87.7,67.29,Islamabad Supermarket #11,Islamabad,Supermarket,13.168359713009231,26.336719426018462,56.43582734146813,177.01521304108726,191,22407.570000000003,29204.100000000002,CRITICAL_OVERSTOCK,4,Excess stock (333 units = 177 days supply); stale restock (191 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST21,SKU01031,236,67,14,2025-06-17T00:00:00.000,1.8833394475341698,PrimeCare First Aid 500g,Health & Wellness,First Aid,PrimeCare,668.1,419.47,Peshawar Hypermarket #21,Peshawar,Hypermarket,13.18337613273919,26.36675226547838,56.500183426025096,125.30932769925863,197,98994.92000000001,157671.6,CRITICAL_OVERSTOCK,4,Excess stock (236 units = 125 days supply); stale restock (197 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST26,SKU02129,496,96,34,2025-07-10T00:00:00.000,1.8811942447156045,UrbanBite Oral Care 500g,Personal Care,Oral Care,UrbanBite,227.28,138.59,Lahore Convenience Store #26,Lahore,Convenience Store,13.168359713009231,26.336719426018462,56.43582734146813,263.6622993044423,174,68740.64,112730.88,CRITICAL_OVERSTOCK,4,Excess stock (496 units = 264 days supply); stale restock (174 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST19,SKU02907,109,34,13,2025-08-17T00:00:00.000,1.8811942447156045,NovaFresh Kids Wear Large,Apparel & Footwear,Kids Wear,NovaFresh,1495.16,1152.38,Sialkot Convenience Store #19,Sialkot,Convenience Store,13.168359713009231,26.336719426018462,56.43582734146813,57.94191658101656,136,125609.42000000001,162972.44,HIGH_OVERSTOCK,5,Excess inventory (58 days of supply vs 45-day target); exceeds reorder capacity.,Freeze Replenishment & Reallocate Inventory,false,true
ST05,SKU01023,333,97,22,2025-07-12T00:00:00.000,1.8798979462629979,CrispKing Men's Grooming Large,Personal Care,Men's Grooming,CrispKing,526.16,382.68,Karachi Supermarket #05,Karachi,Supermarket,13.159285623840985,26.31857124768197,56.39693838788994,177.1372752770768,172,127432.44,175211.28,CRITICAL_OVERSTOCK,4,Excess stock (333 units = 177 days supply); stale restock (172 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST08,SKU04475,345,90,29,2025-05-07T00:00:00.000,1.8884170444874957,GreenValley Men's Grooming Pack of 12,Personal Care,Men's Grooming,GreenValley,146.88,89.89,Quetta Supermarket #08,Quetta,Supermarket,13.21891931141247,26.43783862282494,56.65251133462487,182.6926954546901,238,31012.05,50673.6,CRITICAL_OVERSTOCK,4,Excess stock (345 units = 183 days supply); stale restock (238 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST01,SKU01318,92,24,9,2025-06-29T00:00:00.000,0.1,FamilyChoice Skin Care Pack of 6,Personal Care,Skin Care,FamilyChoice,348.04,221.19,Quetta Convenience Store #01,Quetta,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,920.0,185,20349.48,32019.68,CRITICAL_OVERSTOCK,4,Excess stock (92 units = 920 days supply); stale restock (185 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST13,SKU00389,212,49,15,2025-08-16T00:00:00.000,0.1,UrbanBite Ready Meals Family Pack,Frozen Foods,Ready Meals,UrbanBite,644.49,411.18,Multan Convenience Store #13,Multan,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,2120.0,137,87170.16,136631.88,CRITICAL_OVERSTOCK,4,Excess stock (212 units = 2120 days supply); stale restock (137 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,false
ST25,SKU01675,289,77,32,2025-08-26T00:00:00.000,0.1,ValueChoice Kids Wear 250ml,Apparel & Footwear,Kids Wear,ValueChoice,922.38,532.89,Quetta Convenience Store #25,Quetta,Convenience Store,0.7000000000000001,1.4000000000000001,3.0,2890.0,127,154005.21,266567.82,CRITICAL_OVERSTOCK,4,Excess stock (289 units = 2890 days supply); stale restock (127 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
ST06,SKU01396,251,57,12,2025-08-08T00:00:00.000,1.8811942447156045,GoldenHarvest First Aid Family Pack,Health & Wellness,First Aid,GoldenHarvest,131.89,104.01,Sukkur Hypermarket #06,Sukkur,Hypermarket,13.168359713009231,26.336719426018462,56.43582734146813,133.42588130123997,145,26106.510000000002,33104.39,CRITICAL_OVERSTOCK,4,Excess stock (251 units = 133 days supply); stale restock (145 days ago); stagnant demand.,Execute Clearance Markdown / Flash Promotion,false,true
